Ticker,Outright,LookThrough,Sector
NESN SW Equity,0,-4,Food Producers
NESTE FH Equity,44.9,0,Oil & Gas Producers
NEX LN Equity,0,-1.9,Travel & Leisure
NFLX US Equity,0,-2.1,General Retailers
NG/ LN Equity,0,-10.6,"Gas, Water & Multiutilities"
NIBEB SS Equity,0,-0.8,Construction & Materials
NMC LN Equity,0,-1.4,Health Care Equipment & Services
NN NA Equity,0,-3.4,Life Insurance
NOEJ GR Equity,0,-0.3,Automobiles & Parts
NOKIA FH Equity,0,-2.7,Technology Hardware & Equipment
NOVN SW Equity,0,-6.1,Pharmaceuticals & Biotechnology
NOVOB DC Equity,0,-2.7,Pharmaceuticals & Biotechnology
NRE1V FH Equity,0,-3.1,Automobiles & Parts
NRR LN Equity,0,-0.2,Real Estate Investment Trusts
NTES US Equity,0,-2.1,Software & Computer Services
NTGY SM Equity,0,0.5,"Gas, Water & Multiutilities"
NVDA US Equity,0,-4.2,Technology Hardware & Equipment
NXG LN Equity,94.6,-4.3,Financial Services
NXI FP Equity,38.1,0,Real Estate Investment & Services
NXT LN Equity,0,-9.1,General Retailers
NZYMB DC Equity,0,-0.4,Pharmaceuticals & Biotechnology
O2D GR Equity,0,-0.1,Mobile Telecommunications
OCDO LN Equity,0,-2.1,Food & Drug Retailers
OERL SW Equity,0,-0.5,Industrial Engineering
OMU LN Equity,0,-1.1,Life Insurance
ON US Equity,0,-2.1,Technology Hardware & Equipment
OR FP Equity,0,-68.6,Personal Goods
ORA FP Equity,0,-12.9,Fixed Line Telecommunications
ORK NO Equity,0,-0.2,Food Producers
ORLY US Equity,0,-2.1,General Retailers
ORNBV FH Equity,0,-0.1,Pharmaceuticals & Biotechnology
ORP FP Equity,0,-0.2,Health Care Equipment & Services
OSB LN Equity,0,-1.3,Financial Services
OSR GR Equity,0,-3.7,Electronic & Electrical Equipment
OTB LN Equity,0,-0.7,Travel & Leisure
PAG LN Equity,0,-1.7,Financial Services
PAGE LN Equity,0,-2.4,Support Services
PAH3 GR Equity,0,-5.5,Automobiles & Parts
PAYX US Equity,0,-2.1,Support Services
PBB GR Equity,0,-0.3,Banks
PCAR US Equity,0,-2.1,Industrial Engineering
PCT LN Equity,0,-1.9,Equity Investment Instruments
PFC LN Equity,0,-1.7,"Oil Equipment, Services & Distribution"
PFG LN Equity,0,-1.7,Financial Services
PHIA NA Equity,0,-4.6,Health Care Equipment & Services
PHNX LN Equity,0,-6,Life Insurance
PHP PZ Equity,0,-0.2,Real Estate Investment Trusts
PIN LN Equity,0,-1.2,Equity Investment Instruments
PIRC IM Equity,0,-3.4,Automobiles & Parts
PLI LN Equity,0,-1,Equity Investment Instruments
PLP LN Equity,0,-1,Construction & Materials
PLUS LN Equity,51.1,0,Financial Services
PMO LN Equity,0,-1.1,Oil & Gas Producers
PNL LN Equity,0,-0.9,Equity Investment Instruments
PNN LN Equity,0,-4.4,"Gas, Water & Multiutilities"
POLY LN Equity,0,-2.5,Mining
POM FP Equity,0,-1.5,Automobiles & Parts
PPB ID Equity,0,-2.6,Travel & Leisure
PROX BB Equity,0,-0.2,Fixed Line Telecommunications
PRSM LN Equity,33.5,0,Software & Computer Services
PRU LN Equity,126.4,-24.6,Life Insurance
PRY IM Equity,0,-4.1,Electronic & Electrical Equipment
PSH LN Equity,0,-2.7,Equity Investment Instruments
PSM GR Equity,0,-5.2,Media
PSN LN Equity,-88.2,-3,Household Goods & Home Construction
PSON LN Equity,0,-9.4,Media
PST IM Equity,0,-3.2,Life Insurance
PTEC LN Equity,-1.9,-3,Travel & Leisure
PUB FP Equity,0,-14.7,Media
PUM GR Equity,0,-0.7,Personal Goods
PYPL US Equity,0,-2.1,Support Services
PZC LN Equity,0,-0.5,Personal Goods
QCOM US Equity,0,-4.2,Technology Hardware & Equipment
QIA GR Equity,0,-0.3,Pharmaceuticals & Biotechnology
QLT LN Equity,0,-2.9,Financial Services
QQ/ LN Equity,0,-2,Aerospace & Defense
QRTEA US Equity,0,-2.1,Media
QRVO US Equity,0,-2.1,Technology Hardware & Equipment
RACE IM Equity,0,-19.1,Automobiles & Parts
RAND NA Equity,-30.2,-1.2,Support Services
RAT LN Equity,0,-1.5,Financial Services
RB/ LN Equity,0,-14.7,Household Goods & Home Construction
RBI AV Equity,0,-0.6,Banks
RBREW DC Equity,0,-0.1,Beverages
RBS LN Equity,171.9,-5.7,Banks
RCO FP Equity,0,-0.6,Beverages
RCP LN Equity,0,-2.9,Equity Investment Instruments
RDI LN Equity,0,-0.1,Real Estate Investment Trusts
RDSA LN Equity,149.1,-45.5,Oil & Gas Producers
RDSA NA Equity,-40.7,0,Oil & Gas Producers
RDSB LN Equity,-149.8,-38.3,Oil & Gas Producers
RDW LN Equity,0,-1.7,Household Goods & Home Construction
REC IM Equity,30.7,-2.2,Pharmaceuticals & Biotechnology
REE SM Equity,0,0.4,Electricity
REGN US Equity,0,-2.1,Pharmaceuticals & Biotechnology
REL LN Equity,0,-23.2,Media
REN NA Equity,0,-15.4,Media
REP SM Equity,0,-3.7,Oil & Gas Producers
RF FP Equity,0,-0.6,Financial Services
RHIM LN Equity,22.9,-1.3,Industrial Engineering
RHM GR Equity,0,-3.4,Aerospace & Defense
RI FP Equity,0,-15.9,Beverages
RIO LN Equity,-53.4,-34.1,Mining
RKET GR Equity,0,-0.4,Financial Services
RMG LN Equity,0,-3.8,Industrial Transportation
RMS FP Equity,0,-18.9,Personal Goods
RMV LN Equity,0,-7.8,Media
RNK LN Equity,0,-0.4,Travel & Leisure
RNO FP Equity,0,-13.8,Automobiles & Parts
ROCKB DC Equity,0,-0.7,Construction & Materials
ROG SW Equity,0,-5.2,Pharmaceuticals & Biotechnology
ROR LN Equity,0,-4.6,Industrial Engineering
ROST US Equity,0,-2.1,General Retailers
RPC LN Equity,0,-4.8,General Industrials
RR/ LN Equity,42.1,-10.3,Aerospace & Defense
RRS LN Equity,0,-5,Mining
RSA LN Equity,101.7,-3.8,Nonlife Insurance
RSE LN Equity,0,-0.8,Equity Investment Instruments
RSW LN Equity,0,-2.4,Electronic & Electrical Equipment
RTL BB Equity,0,-2.4,Media
RTO LN Equity,0,-5.3,Support Services
RUI FP Equity,0,1,"Gas, Water & Multiutilities"
RWE GR Equity,0,1.6,"Gas, Water & Multiutilities"
RWI LN Equity,0,-0.6,Support Services
RXL FP Equity,0,-0.7,Electronic & Electrical Equipment
SAABB SS Equity,0,-0.5,Aerospace & Defense
SAB SM Equity,115.6,-2.5,Banks
SAF FP Equity,0,-21.1,Aerospace & Defense
SAFE LN Equity,0,-0.3,Real Estate Investment Trusts
SAGA LN Equity,0,-2.9,General Retailers
SAMPO FH Equity,0,-6,Nonlife Insurance
SAN FP Equity,0,-33.4,Pharmaceuticals & Biotechnology
SAN SM Equity,75.4,-30.6,Banks
SAND SS Equity,0,-3.3,Industrial Engineering
SAP GR Equity,0,-16.5,Software & Computer Services
SAX GR Equity,0,-0.2,Media
SBRY LN Equity,-31,-2,Food & Drug Retailers
SBUX US Equity,0,-2.1,Travel & Leisure
SCHA NO Equity,0,-1.8,Media
SCHP SW Equity,0,-1.5,Industrial Engineering
SCIN LN Equity,0,-0.8,Equity Investment Instruments
SCMN SW Equity,0,-0.6,Fixed Line Telecommunications
SCR FP Equity,0,-1.6,Nonlife Insurance
SCT LN Equity,0,-1.1,Software & Computer Services
SDF GR Equity,0,-1.3,Chemicals
SDP LN Equity,0,-0.9,Equity Investment Instruments
SDR LN Equity,-151.9,-1.3,Financial Services
SDRC LN Equity,118.9,0,Financial Services
SDRY LN Equity,0,-0.7,Personal Goods
SECUB SS Equity,0,-0.9,Support Services
SEQI LN Equity,0,-1,Equity Investment Instruments
SESG FP Equity,0,-5.3,Media
SEV FP Equity,0,0.9,"Gas, Water & Multiutilities"
SFER IM Equity,0,-0.6,Personal Goods
SGC LN Equity,0,-0.8,Travel & Leisure
SGE LN Equity,0,-2.6,Software & Computer Services
SGH US Equity,0,-2.1,Technology Hardware & Equipment
SGO FP Equity,0,-13.2,Construction & Materials
SGRE SM Equity,0,-0.7,Alternative Energy
SGRO LN Equity,0,1.8,Real Estate Investment Trusts
SGSN SW Equity,0,-2.3,Support Services
SHA GR Equity,0,-1.5,Automobiles & Parts
SHB LN Equity,0,-1.1,Real Estate Investment Trusts
SHI LN Equity,0,-1.1,Support Services
SHL GR Equity,0,-0.2,Health Care Equipment & Services
SHP LN Equity,40.7,-16.1,Pharmaceuticals & Biotechnology
SHPG US Equity,0,-2.1,Pharmaceuticals & Biotechnology
SIE GR Equity,0,-34,General Industrials
SIE GY Equity,61.8,0,General Industrials
SIGB LN Equity,23,0,Financial Services
SIGC LN Equity,41.1,0,""
SIKA SW Equity,0,-3.7,Construction & Materials
SIRI US Equity,0,-2.1,Media
SK FP Equity,0,-3.4,Household Goods & Home Construction
SKAB SS Equity,0,-1.4,Construction & Materials
SKFB SS Equity,0,-1.2,Industrial Engineering
SKG ID Equity,0,-4.2,General Industrials
SKY LN Equity,0,-20.9,Media
SLA LN Equity,102.2,-3.3,Financial Services
SLAB US Equity,0,-2.1,Technology Hardware & Equipment
SLHN SW Equity,0,-1.5,Life Insurance
SMDS LN Equity,0,-4.4,General Industrials
SMIN LN Equity,-37.5,-4,General Industrials
SMP LN Equity,0,-0.8,Real Estate Investment & Services
SMS LN Equity,23.2,0,Support Services
SMT LN Equity,0,-2.8,Equity Investment Instruments
SMWH LN Equity,0,-4.4,General Retailers
SN/ LN Equity,0,-5.1,Health Care Equipment & Services
SNN LN Equity,0,-1.2,Support Services
SNPS US Equity,0,-2.1,Software & Computer Services
SNR LN Equity,0,-1.7,Aerospace & Defense
SOBI SS Equity,0,-0.1,Pharmaceuticals & Biotechnology
SOLB BB Equity,0,-3.6,Chemicals
SOON SW Equity,0,-0.3,Health Care Equipment & Services
SOPH LN Equity,0,-2.8,Software & Computer Services
SPD LN Equity,0,-1.7,General Retailers
SPI LN Equity,0,-1,Health Care Equipment & Services
SPIE FP Equity,23.2,-0.5,Support Services
SPM IM Equity,0,-1.4,"Oil Equipment, Services & Distribution"
SPR GR Equity,0,-3.2,Media
SPX LN Equity,0,-7.6,Industrial Engineering
SRCG SW Equity,0,-0.1,Fixed Line Telecommunications
SREN SW Equity,0,-3.5,Nonlife Insurance
SRG IM Equity,0,-3.5,"Gas, Water & Multiutilities"
SRP LN Equity,0,-1.4,Support Services
SRT3 GR Equity,0,-0.9,Industrial Engineering
SSE LN Equity,0,-5.2,Electricity
SSPG LN Equity,49.2,-4,Travel & Leisure
STAN LN Equity,0,-9.1,Banks
STB NO Equity,0,-0.5,Nonlife Insurance
STJ LN Equity,0,-4.6,Life Insurance
STM IM Equity,0,-11.4,Technology Hardware & Equipment
STMN SW Equity,0,-0.3,Health Care Equipment & Services
STOB LN Equity,0,-0.8,Industrial Transportation
STX US Equity,0,-2.1,Technology Hardware & Equipment
SU FP Equity,0,-22.5,Electronic & Electrical Equipment
SUBC NO Equity,27.6,0,"Oil Equipment, Services & Distribution"
SVS LN Equity,0,-1.6,Real Estate Investment & Services
SVT LN Equity,0,-2.9,"Gas, Water & Multiutilities"
SW FP Equity,0,-2.3,Travel & Leisure
SWEDA SS Equity,-40.6,0,Banks
SWKS US Equity,0,-4.2,Technology Hardware & Equipment
SXS LN Equity,0,-4.9,Electronic & Electrical Equipment
SXX LN Equity,0,-1.7,Chemicals
SY1 GR Equity,0,-2.9,Chemicals
SYMC US Equity,0,-2.1,Software & Computer Services
SYNC LN Equity,0,-1.1,Equity Investment Instruments
SYNT LN Equity,0,-1.9,Chemicals
SZG GR Equity,0,-0.2,Industrial Metals & Mining
TALK LN Equity,0,-0.8,Fixed Line Telecommunications
TATE LN Equity,0,-4.2,Food Producers
TBCG LN Equity,0,-0.8,Banks
TCAP LN Equity,68.7,-3.2,Financial Services
TCG LN Equity,0,-2,Travel & Leisure
TECN SW Equity,0,-0.1,Health Care Equipment & Services
TED LN Equity,0,-0.8,Personal Goods
TEF SM Equity,0,-10.6,Fixed Line Telecommunications
TEG GR Equity,0,-2.1,Real Estate Investment & Services
TEL NO Equity,0,-0.7,Mobile Telecommunications
TEL2B SS Equity,0,-0.2,Mobile Telecommunications
TELIA SS Equity,0,-0.6,Mobile Telecommunications
TEM LN Equity,0,-2.1,Equity Investment Instruments
TEMN SW Equity,-29.9,0,Software & Computer Services
TEN IM Equity,108.6,-4.8,Industrial Metals & Mining
TEP FP Equity,0,-1.6,Support Services
TEP LN Equity,0,-0.7,Fixed Line Telecommunications
TER US Equity,0,-2.1,Technology Hardware & Equipment
TIFS LN Equity,0,-0.5,Automobiles & Parts
TIT IM Equity,0,-4.9,Fixed Line Telecommunications
TITR IM Equity,21.3,0,Fixed Line Telecommunications
TKA GR Equity,0,-2.7,General Industrials
TL5 SM Equity,0,-0.3,Media
TLW LN Equity,0,-4.6,Oil & Gas Producers
TLX GR Equity,0,-0.3,Nonlife Insurance
TMO LN Equity,32.5,0,Media
TMPL LN Equity,0,-1,Equity Investment Instruments
TMUS US Equity,0,-2.1,Mobile Telecommunications
TNET BB Equity,0,-1.8,Media
TPK LN Equity,0,-4.8,Support Services
TPZ SM Equity,25,0,Travel & Leisure
TRE SM Equity,0,-0.2,"Oil Equipment, Services & Distribution"
TRELB SS Equity,0,-0.9,Industrial Engineering
TRIG LN Equity,0,-1.3,Equity Investment Instruments
TRN IM Equity,0,-2.9,Electricity
TRY LN Equity,0,-1.5,Equity Investment Instruments
TRYG DC Equity,0,-0.4,Nonlife Insurance
TSCO LN Equity,117,-9.3,Food & Drug Retailers
TSLA US Equity,0,-2.1,Automobiles & Parts
TSM US Equity,0,-2.1,Technology Hardware & Equipment
TTWO US Equity,0,-2.1,Leisure Goods
TUI LN Equity,0,-2.7,Travel & Leisure
TW/ LN Equity,-49.3,-3.5,Household Goods & Home Construction
TXN US Equity,0,-4.2,Technology Hardware & Equipment
UBI FP Equity,0,-5,Leisure Goods
UBI IM Equity,0,-2.7,Banks
UCB BB Equity,0,-0.3,Pharmaceuticals & Biotechnology
UCG IM Equity,0,-26.2,Banks
UDG LN Equity,0,-2.9,Health Care Equipment & Services
UG FP Equity,0,-10.7,Automobiles & Parts
UHR SW Equity,-14.2,0,Personal Goods
UKCM LN Equity,0,-0.6,Real Estate Investment & Services
UKW LN Equity,0,-1.5,Equity Investment Instruments
ULE LN Equity,0,-1.4,Aerospace & Defense
ULVR LN Equity,0,-18.1,Personal Goods
UMI BB Equity,0,-1.5,Chemicals
UN01 GR Equity,0,0.3,"Gas, Water & Multiutilities"
UNA NA Equity,0,-73.5,Personal Goods
UNI IM Equity,0,-1.2,Nonlife Insurance
URW NA Equity,-18.3,-23.4,Real Estate Investment Trusts
US IM Equity,0,-0.9,Nonlife Insurance
UTG LN Equity,0,-1.1,Real Estate Investment Trusts
UU/ LN Equity,0,-3.2,"Gas, Water & Multiutilities"
VACN SW Equity,0,-0.5,Industrial Engineering
VCT LN Equity,0,-3.2,Chemicals
VED LN Equity,0,-0.9,Mining
VEIL LN Equity,0,-0.9,Equity Investment Instruments
VIE FP Equity,0,-0.4,"Gas, Water & Multiutilities"
VIFN SW Equity,0,-0.2,Pharmaceuticals & Biotechnology
VIS SM Equity,0,-1,Food Producers
VIV FP Equity,150,-27.1,Media
VM/ LN Equity,0,-1.5,Banks
VNA GR Equity,0,-12.7,Real Estate Investment & Services
VOD LN Equity,57.9,-21.8,Mobile Telecommunications
VOD US Equity,0,-2.1,Mobile Telecommunications
VOF LN Equity,0,-0.7,Equity Investment Instruments
VOLVB SS Equity,0,-4.4,Industrial Engineering
VOW3 GR Equity,0,-21.4,Automobiles & Parts
VOW3 GY Equity,66.1,0,Automobiles & Parts
VPK NA Equity,0,-0.5,Industrial Transportation
VRSK US Equity,0,-2.1,Support Services
VRTX US Equity,0,-2.1,Pharmaceuticals & Biotechnology
VSVS LN Equity,0,-1.7,General Industrials
WAF GY Equity,140.3,0,Technology Hardware & Equipment
WBA US Equity,0,-2.1,Food & Drug Retailers
WCH GR Equity,0,-0.6,Chemicals
WDAY US Equity,0,-2.1,Software & Computer Services
WDC US Equity,0,-2.1,Technology Hardware & Equipment
WDH DC Equity,0,-0.1,Health Care Equipment & Services
WDI GR Equity,0,-3.1,Support Services
WEIR LN Equity,0,-7.6,Industrial Engineering
WG/ LN Equity,0,-4.7,"Oil Equipment, Services & Distribution"
WIE AV Equity,0,-0.6,Construction & Materials
WIZZ LN Equity,0,-2.6,Travel & Leisure
WKL NA Equity,0,-12.3,Media
WKP LN Equity,0,-0.4,Real Estate Investment Trusts
WMH LN Equity,0,-3.5,Travel & Leisure
WPP LN Equity,0,-20.4,Media
WRT1V FH Equity,0,-1.5,Industrial Engineering
WTAN LN Equity,0,-2.2,Equity Investment Instruments
WTB LN Equity,0,-2.7,Travel & Leisure
WWH LN Equity,0,-1.5,Equity Investment Instruments
WYNN US Equity,0,-2.1,Travel & Leisure
XLNX US Equity,0,-4.2,Technology Hardware & Equipment
XRAY US Equity,0,-2.1,Health Care Equipment & Services
ZAL GR Equity,0,-1.2,General Retailers
ZAL GY Equity,-9.9,0,General Retailers
ZPG LN Equity,0,-1.9,Media
ZURN SW Equity,0,-5.8,Nonlife Insurance
